stt,category,group,question,answer
11,Chi tieu,,"Tôi dùng thẻ của Techcombank để rút tiền trên ATM của ngân hàng khác nhưng đã bị nuốt thẻ. Vậy, tôi phải liên lạc với ngân hàng nào để lấy lại thẻ?",Quý khách có thể gọi số Hotline: 1800588822 hoặc đến bất kỳ điểm giao dịch nào của Techcombank để được hướng dẫn hỗ trợ
12,Chi tieu,,"Tôi đang ở nước ngoài, thẻ không giao dịch được, tôi phải làm gì?",Có nhiều lý do khiến thẻ của Quý khách hàng không giao dịch được. Quý khách vui lòng liên hệ Hotline của Techcombank 24/7- số điện thoại ở mặt sau của thẻ để được hỗ trợ kiểm tra tình trạng thẻ
13,Chi tieu,,"Khi giao dịch rút tiền, tôi nhận được tiền bị rách,nhàu nát hoặc mất góc, tôi phải làm gì?",Quý khách có thể tới bất cứ chi nhánh/phòng giao dịch của Techcombank để đổi tiền. Giao dịch này sẽ ko bị mất phí.
14,Chi tieu,,"Khi giao dịch tại siêu thị, do hết giấy in hóa đơn, nhân viên đã quẹt thẻ của tôi hai lần, tài khoản báo bị trừ tiền 2 lần, tôi phải làm gì?","Quý khách cần thực hiện 2 bước sau:
1. Ký tên trên 1 hóa đơn thanh toán (liên dành cho đơn vị)
2. Đồng thời gọi số Hotline ở mặt sau thẻ để được hỗ trợ tra soát"
15,Chi tieu,,Nhận biết số tài khoản?,"Quý khách có thể thực hiện một trong các cách sau:
1. Đưa thẻ vào máy ATM Techombank bất kỳ để có thông tin; hoặc
2. Gọi đến Hotline của Techcombank theo số 1800 588 822 bằng số điện thoại đã đăng ký với ngân hàng; hoặc
3. Tra cứu qua dịch vụ F@st i-bank, F@st Mobile"
16,Chi tieu,,"Tôi muốn phát hành thẻ của Techcombank với đuôi thẻ, hoặc số tài khoản là số đẹp chọn có được không?","Tại thời điểm hiện tại, hệ thống cá thể hóa thẻ là bảo mật, không thể can thiệp nên không thể chọn theo yêu cầu của Quý khách được. Tuy nhiên có thể chọn ID khách hàng với số đẹp và mất phí theo quy định từng thời kỳ của Ngân hàng."
17,Chi tieu,,"Để có thể sử dụng thẻ thanh toán/thẻ tín dụng quốc tế Techcombank Visa, tôi có bắt buộc phải đổi PIN lần đầu tại ATM không?",Quý khách có thể sử dụng chính PIN do Techcombank cấp hoặc có thể đổi sang PIN khác (tại ATM Techcombank) để sử dụng thẻ.
18,Chi tieu,,"Tôi đã quên PIN thẻ, tôi phải làm gì?",Quý khách có thể đến bất kỳ điểm giao dịch của Techcombank để đề nghị cấp lại PIN hoặc gửi yêu cầu cấp lại PIN qua dịch vụ F@st i-bank. Phí cấp lại PIN được Techcombank quy định theo từng thời kỳ. Biểu phí cấp lại pin dành cho thẻ Thanh toán/thẻ tín dụng tại đây
19,Chi tieu,,"Tôi không còn nhớ PIN thẻ của mình, tôi có thể gọi lên Hotline để mở PIN được không?","Trong trường hợp này, Quý khách cần đăng ký qua F@st i-bank hoặc chi nhánh/phòng giao dịch để yêu cầu cấp PIN mới. Quý khách chỉ gọi lên Hotline trong trường hợp thẻ bị khóa do nhập sai PIN và vẫn nhớ PIN của mình."
20,Chi tieu,,CVV2 là gì?,CVV là viết tắt của Card Verification Value. CVV2 là mã số nhằm xác thực chủ thẻ khi thực hiện các giao dịch thanh toán bằng thẻ trên Internet
21,Chi tieu,,"Thẻ Visa của tôi khi thanh toán Internet thì phát hiện ra số CVV2 ở mặt sau thẻ chỉ có 2 số/bị mờ không đọc được, dẫn tới tôi không thể thanh toán được, tôi có thể xin cấp lại hoặc được hỗ trợ gì không?","Trong trường hợp thời điểm khiếu nại chưa quá 6 tháng kể từ khi thẻ phát hành, Techcombank sẽ thu hồi thẻ và xem xét hỗ trợ phát hành lại miễn phí. Trường hợp quá 6 tháng, Quý khách vui lòng tới chi nhánh/phòng giao dịch của Techcombank để phát hành lại thẻ mới theo quy định."
22,Chi tieu,,Giao dịch MOTO là gì?,"Giao dịch MOTO (Mail Order/Phone Order): là giao dịch mà chủ thẻ sử dụng thông tin thẻ đặt mua hàng hóa, dịch vụ từ Đơn vị chấp nhận thẻ (ĐVCNT) qua điện thoại hoặc email hoặc các phương tiện truyền thông khác. Trong đó, thẻ và/hoặc chủ thẻ không phải hiện diện trực tiếp tại ĐVCNT.a"
23,Chi tieu,,"Thẻ của tôi mới phát hành nhưng không sử dụng được, tôi có được ngân hàng hỗ trợ gì không?","Tùy thuộc vào thời điểm phát hành thẻ và nguyên nhân dẫn tới thẻ không sử dụng được. Nếu nguyên nhân lỗi không thuộc về khách hàng, Techcombank sau khi tiếp nhận khiếu nại sẽ xem xét hỗ trợ để Quý khách có thể tiếp tục sử dụng dịch vụ thẻ của Techcombank."
24,Chi tieu,,"Thẻ của tôi bị gẫy hỏng, không sử dụng được nữa, tôi phải làm gì?",Quý khách có thể đến bất kỳ điểm giao dịch nào của Techcombank để yêu cầu phát hành lại thẻ
25,Chi tieu,,Tôi giao dịch thẻ qua Internet nhưng không có mật khẩu OTP (One-time password)?,Quý khách chỉ sử dụng được mật khẩu OTP tại các website có tích hợp dịch vụ 3D Secure Verified by Visa
26,Chi tieu,,"Tôi muốn nâng hạn mức chuyển khoản qua dịch vụ ngân hàng điện tử, tôi có thể đăng ký qua kênh này được không? Có bị mất phí cho yêu cầu này không?","KH có thể tới bất kỳ CN/PGD của Techcombank để được hỗ trợ đăng ký thay đổi hạn mức giao dịch hoặc sử dụng dịch vụ đăng ký thay đổi Hạn mức giao dịch trực tuyến trên ứng dụng F@st Mobile (lên đến 3 tỷ VND)
Yêu cầu của KH được hỗ trợ hoàn toàn miễn phí
(Lưu ý: đăng ký hạn mức trên F@st Mobile chỉ có tác dụng trên F@st Mobile, ko có tác dụng trên F@st ibank)"
27,Chi tieu,,Với yêu cầu nâng hạn mức sử dụng thẻ tạm thời tôi có bị mất phí không?,"Trong trường hợp này, Quý khách không bị mất phí."
28,Chi tieu,,"Khi thanh toán thẻ bằng USD, tôi phải chịu phí gì?","- Thẻ ghi nợ: phí quản lý chuyển đổi chi tiêu ngoại tệ và phí xử lý giao dịch
- Thẻ tín dụng: phí giao dịch ngoại tệ
Các loại phí và mức phí được Techcombank quy định từng thời kỳ xem chi tiết tại đây"
29,Chi tieu,,Chương trình Zero-fee của Techcombank áp dụng như thế nào?,"Áp dụng cho toàn bộ khách hàng sử dụng dịch vụ ngân hàng điện tử của Techcombank: miễn toàn bộ phí chuyển khoản (bao gồm cả chuyển khoản liên ngân hàng, chuyển khoản nhanh 24/7 và chuyển tiền trong hệ thống Techcombank), miễn phí toàn bộ giao dịch thanh toán, miễn phí đăng ký và phí duy trì dịch vụ."
30,Chi tieu,,Tôi có thể thực hiện yêu cầu trợ giúp thẻ qua kênh nào?,"Các yêu cầu trợ giúp như: khóa/mở khóa thẻ, đăng ký/hủy tính năng thanh toán thẻ qua Internet, đăng ký/hủy trích nợ tự động ..., Quý khách có thể thực hiện qua các kênh sau:
- Chi nhánh/phòng giao dịch bất kỳ của Techcombank
- F@st i-bank
- Dịch vụ Khách hàng Techcombank qua số hotline: 1800588822 (nếu đang ở Việt Nam) hoặc (84-24) 39449626 (nếu đang ở nước ngoài)
- Máy ATM của Techcombank
Với yêu cầu trợ giúp phát hành lại thẻ hoặc nâng hạn mức thẻ tín dụng : Quý khách vui lòng đến bất kỳ điểm giao dịch của Techcombank để yêu cầu"
31,Chi tieu,,Tôi có thể thực hiện yêu cầu trợ giúp thẻ nào qua Hotline Dịch vụ Khách hàng của Techcombank?,"Quý khách có thể thực hiện các yêu cầu sau qua tổng đài DVKH Techcombank: khóa thẻ tạm thời, khóa thẻ vĩnh viễn, khóa tính năng thanh toán qua internet, resset lại PIN (nếu KH còn nhớ PIN), tra soát khiếu nại và thu hồi thẻ nuốt"
32,Chi tieu,,Tôi có thể thực hiện yêu cầu trợ giúp thẻ nào qua ATM của Techcombank,Quý khách có thể thực hiện yêu cầu đăng ký/hủy đăng ký tính năng thanh toán qua Internet
33,Chi tieu,,Đăng ký Dịch vụ Ngân hàng trực tuyến E-Banking,"Khách hàng có thể đăng ký trực tuyến tài khoản E-Banking bằng cách sử dụng thông tin thẻ do Techcombank phát hành (bao gồm Thẻ thanh toán & Thẻ tín dụng đang hoạt động) tại đây. Việc đăng ký hoàn toàn miễn phí và tài khoản ngân hàng điện tử sẽ được sử dụng ngay lập tức.
Ngoài ra, khách hàng có thể đăng ký tại bất kỳ CN/PGD của Techcombank."
34,Chi tieu,,Quên Tên Đăng Nhập hoặc Mật Khẩu Ngân hàng trực tuyến E-Banking,Quý khách có thể đăng ký khôi phục mật khẩu tại CN/PGD Techcombank hoặc thực hiện khôi phục mật khẩu trực tuyến tại đây
35,Chi tieu,,"Tôi nhận được tin nhắn ưu đãi giảm giá từ Techcombank khi mua sắm tại Vascara và một vài thương hiệu khác lên đến 10% tại các cửa hàng trên toàn quốc, tôi phải làm gì để sử dụng?","Quý khách có thể đến bất kỳ cửa hàng nào của Vascara hoặc các thương hiệu khác mà Quý khách nhận được thông tin ưu đãi từ Techcombank trên toàn quốc, chọn lựa sản phẩm muốn mua và thực hiện thanh toán bằng thẻ Techcombank. Khi thực hiện thanh toán, yêu cầu thu ngân áp dụng ưu đãi dành riêng cho chủ thẻ Techcombank, Quý khách sẽ được giảm giá trực tiếp trên tổng hóa đơn"
36,Chi tieu,,Tôi muốn tìm hiểu các thông tin ưu đãi dành cho chủ thẻ thì phải tìm kiếm thông tin này ở đâu?,Quý khách có thể lên Website chính thức của Techcombank https://www.techcombank.com.vn để tìm hiểu thêm các thông tin ưu đãi dành riêng cho chủ thẻ Techcombank hoặc tra cứu thông tin tại hộp email cá nhân của Quý khách với các email Bản tin ưu đãi được gửi từ Techcombank
37,Chi tieu,,"Tôi có nhận được email thông báo ưu đãi khi mua hàng tại một thương hiệu mỹ phẩm với code 'Techcombank', tôi phải thực hiện thế nào?","Quý khách truy cập trang web chính thức của thương hiệu mỹ phẩm đó để thực hiện mua và thanh toán, đến bước nhập mã ưu đãi, nhập mã TECHCOBANK để được giảm giá trực tiếp cho đơn hàng của mình."
38,Chi tieu,,"Tôi được biết thông tin ưu đãi lên đến 20% của Techcombank khi mua vé Máy bay tại AirAsia, hình thức ưu đãi này là thế nào?","Quý khách truy cập website chính thức của Air Asia, lựa chọn hành trình và thực hiện thanh toán. Tại bước thanh toán, Quý khách chỉ cần nhập thông tin thẻ để thanh toán, nếu thông tin ưu đãi Quý khách nhận được yêu cầu nhập Mã Code để áp dụng ưu đãi thì Quý khách nhập mã code. Nếu không đề cập mã code, ưu đãi sẽ được áp dụng thông qua thông tin thẻ của Techcombank, sau khi Quý khách nhập thông tin thẻ, giá sẽ được cập nhật mức giá ưu đãi đã giảm và Quý khách kết thúc giao dịch mua hàng"
39,Chi tieu,,"Khi bị mất thẻ, tôi cần làm gì?","Khi bị mất thẻ, Quý khách cần liên hệ ngay với Techcombank để thực hiện khóa thẻ bằng các cách sau:
- Thực hiện khóa thẻ online qua dịch vụ F@st i Banking/F@st Mobile của Techcombank
- Gọi điện đến số hotline của Techcombank: 1800588822/1800588823 (miễn phí) (nếu đang ở Việt Nam) hoặc +84-24-3944 9626 (nếu đang ở nước ngoài) để được hỗ trợ khóa thẻ
- Email đến hòm mail Dịch vụ Khách hàng 24/7 của Techcombank: call_center@techcombank.com.vn hoặc đến bất kỳ điểm giao dịch nào của Techcombank
Sau đó, Quý khách có thể đề nghị phát hành lại thẻ mới tại bất kỳ điểm giao dịch nào của Techcombank."
40,Chi tieu,,Tôi phải làm gì khi rút tiền tại ATM mà tiền không ra nhưng tài khoản đã bị trừ tiền?,"Quý khách hàng vui lòng liên hệ với Techcombank để được trợ giúp theo một trong các cách sau:
- Liên hệ với Dịch vụ khách hàng 24/7 của Techcombank theo số: 1800 588 822/1800 588 823 (nếu gọi trong lãnh thổ Việt Nam) hoặc +84 24 3944 9626 (nếu gọi từ nước ngoài), email: call_center@techcombank.com.vn
- Đến bất kỳ điểm giao dịch nào của Techcombank
- Thực hiện yêu cầu tra soát qua dịch vụ F@st i-Bank"
41,Chi tieu,,Tôi phải làm gì khi chỉ thực hiện giao dịch 1 lần nhưng tài khoản bị trừ tiền 2 lần?,"Quý khách hàng vui lòng liên hệ với Techcombank để được trợ giúp theo một trong các cách sau:
- Liên hệ với Dịch vụ khách hàng 24/7 của Techcombank theo số: 1800 588 822/1800 588 823 (nếu gọi trong lãnh thổ Việt Nam) hoặc +84 24 3944 9626 (nếu gọi từ nước ngoài), email: call_center@techcombank.com.vn
- Đến bất kỳ điểm giao dịch nào của Techcombank
- Thực hiện yêu cầu tra soát qua dịch vụ F@st i-Bank"
42,Chi tieu,,Thẻ tín dụng quốc tế Techcombank Spark có mấy hạng và hạn mức tín dụng của mỗi hạng là bao nhiêu?,"Thẻ tín dụng quốc tế Techcombank Spark là thẻ thuộc hạng Platinum của MasterCard, hạn mức tín dụng từ 50 triệu VNĐ trở lên."
43,Chi tieu,,Tôi muốn đăng ký phát hành thẻ tín dụng quốc tế Techcombank Spark nhưng không có đủ giấy tờ chứng minh thu nhập. Vậy tôi nên làm gì?,"Nếu Quý khách hàng đang là Khách hàng hiện hữu của VinID và thỏa mãn điều kiện phát hành thẻ tín dụng quốc tế Techcombank Spark, chúng tôi sẽ chủ động liên hệ hoặc có thông báo qua ứng dụng trên điện thoại thông minh của Quý khách."
44,Chi tieu,,"Tôi đã có thẻ tín dụng quốc tế Techcombank Visa, vậy tôi có thể phát hành thêm thẻ tín dụng quốc tế Techcombank MasterCard không?","Có. Quý khách hàng có thể duy trì cùng lúc 2 loại thẻ tín dụng. Tuy nhiên, tổng hạn mức tín dụng cả hai thẻ tín dụng của Quý khách hàng tại cùng một thời điểm không được vượt quá hạn mức tín dụng tối đa được Techcombank cấp cho Quý khách hàng."
45,Chi tieu,,Chủ thẻ phụ thẻ tín dụng quốc tế Techcombank Spark được cấp hạn mức tín dụng như thế nào?,"Được sử dụng chung hạn mức với chủ thẻ chính, hạn mức cụ thể do chủ thẻ chính yêu cầu nhưng không vượt quá hạn mức tín dụng ngân hàng đã cấp cho chủ thẻ chính"
46,Chi tieu,,"Tôi muốn phát hành thẻ phụ thẻ tín dụng quốc tế Techcombank Spark cho con tôi. Vậy, con tôi có cần phải chứng minh thu nhập không?","Theo qui định của Techcombank, chủ thẻ phụ không cần phải chứng minh thu nhập"
47,Chi tieu,,Ngày sao kê là gì? Làm sao để biết ngày sao kê của thẻ tín dụng?,Ngày sao kê là ngày Techcombank lập Sao kê liệt kê chi tiết các giao dịch phát sinh trong Kỳ sao kê liên quan đến việc phát hành và sử dụng thẻ tín dụng của Quý khách hàng (bao gồm thẻ chính và thẻ phụ). Ngày sao kê được thể hiện trên sao kê gửi cho Quý khách hàng.
48,Chi tieu,,Tôi có thể kích hoạt thẻ tín dụng Techcombank Spark bằng những cách nào?,"Có 2 hình thức kích hoạt thẻ tín dụng:
Quý khách hàng soạn tin nhắn theo cú pháp:
TCBKHT <6 số đầu 4 số cuối của thẻ> <số CMND/Hộ chiếu/CCCD> gửi đến 8049.
Ví dụ: TCBKHT 4220751234 0123456789
HOẶC Quý khách truy cập ứng dụng F@st Mobile của Techcombank, mục Thẻ để kích hoạt Thẻ."
49,Chi tieu,,"Để có thể sử dụng thẻ tín dụng quốc tế Techcombank Spark, tôi có bắt buộc phải đổi PIN lần đầu tại ATM không?",Không. Quý khách có thể sử dụng thẻ ngay mà không cần đổi PIN lần đầu tại ATM.
50,Chi tieu,,Tôi có thể đổi ngày sao kê khác không?,"Techcombank quy định ngày sao kê với mỗi loại thẻ tín dụng cụ thể. Nếu muốn sử dụng thẻ với ngày sao kê khác ngày hiện tại, Quý khách cần làm yêu thay đổi loại thẻ/hạng thẻ phù hợp với ngày sao kê đó. Trong một số trường hợp, Quý khách cần hủy và tất toán hết dư nợ của thẻ cũ."
51,Chi tieu,,Làm thế nào để có thể thanh toán dư nợ của thẻ tín dụng?,"Quý khách hàng có thể thanh toán dư nợ của thẻ tín dụng bằng một trong các cách sau:
Ghi nợ tự động: Quý khách hàng đăng ký dịch vụ ghi nợ tự động tại bất kỳ điểm giao dịch nào của Techcombank hoặc qua dịch vụ F@st i-Bank (Internet Banking). Quý khách hàng có thể đăng ký thanh toán giá trị tối thiểu hoặc thanh toán toàn bộ dư nợ sao kê của thẻ tín dụng.

Thanh toán qua dịch vụ F@st i-Bank hoặc F@st Mobile hoặc ATM: Quý khách hàng thực hiện chuyển khoản/thanh toán dư nợ thẻ tín dụng online từ tài khoản thanh toán của Quý khách hàng mở tại Techcombank sang tài khoản thẻ tín dụng.

Nộp tiền mặt hoặc chuyển khoản tại quầy giao dịch của Techcombank: Quý khách hàng có thể đến bất kỳ điểm giao dịch nào của Techcombank để thực hiện thanh toán dư nợ thẻ tín dụng bằng cách nộp tiền mặt hoặc chuyển khoản từ tài khoản thanh toán mở tại Techcombank vào tài khoản thẻ tín dụng.

Chuyển khoản từ ngân hàng khác: Quý khách hàng chuyển khoản từ ngân hàng khác với các thông tin: họ tên của Quý khách hàng, số tài khoản thẻ tín dụng của Quý khách hàng (được thể hiện rõ trên Sao kê định kỳ)."
52,Chi tieu,,"Khi sử dụng thẻ tín dụng quốc tế Techcombank Spark để rút tiền mặt tại ATM của ngân hàng khác, tôi có phải trả phí không? Mức phí là bao nhiêu?","Với giao dịch rút tiền bằng thẻ tín dụng quốc tế Techcombank Spark tại ATM của ngân hàng khác, Techcombank sẽ thu mức phí là 4% giá trị giao dịch và tối thiểu là 100.000 đồng (đã bao gồm 10%VAT). Ngoài ra, Quý khách hàng có thể chịu thêm một mức phí do ngân hàng chủ quản ATM thu, mức phí này là khác nhau tùy theo quy định của từng ngân hàng."
53,Chi tieu,,Tôi thực hiện thanh toán bằng thẻ tín dụng quốc tế Techcombank Spark và trả cho cửa hàng bằng USD thì tôi có phải trả phí không?,"Khi sử dụng thẻ tín dụng Techcombank Spark để thanh toán các hóa đơn bằng ngoại tệ, Techcombank sẽ thu phí quản lý chi tiêu ngoại tệ của Quý khách hàng với mức phí theo quy định của Techcombank trong từng thời kỳ. Vui lòng xem biểu phí tại đây."
54,Chi tieu,,Tôi chuyển khoản thanh toán thẻ tín dụng lúc 22h tại ngày đến hạn thì có bị tính phí chậm thanh toán không?,Có. Việc thanh toán nợ của Quý khách hàng chỉ được tính là thành công khi hệ thống của Techcombank ghi nhận được giao dịch của Quý khách hàng (Techcombank nhận được báo có với số tiền thực báo có). Số tiền thanh toán nhận được sau giờ làm việc của Techcombank sẽ được tính sang ngày làm việc kế tiếp
55,Chi tieu,,"Tôi đăng ký trích nợ giá trị tối thiểu, vào ngày đến hạn thanh toán tôi đã trả nhiều hơn mức tối thiểu thì hệ thống có trích nợ tiếp không?","Trong trường hợp này hệ thống không trích nợ tiếp. Nếu muốn thanh toán toàn bộ dư nợ sao kê, Quý khách hàng nộp/chuyển tiền vào tài khoản thẻ tín dụng để thanh toán."
56,Chi tieu,,Ngày sao kê của tôi là Chủ nhật ngày 10/12 thì được chuyển sang ngày nào?,"Nếu ngày sao kê trùng với ngày thứ 7, chủ nhật hoặc ngày lễ thì Ngày sao kê sẽ được chuyển lên trước đó 02 ngày làm việc.Cụ thể, ngày sao kê được chuyển sang Thứ 6 ngày 08/12."
57,Chi tieu,,"Khi truy cập sao kê điện tử e-statement, tôi cần nhập thông tin gì?",Quý khách hàng cần nhập 4 số cuối của thẻ và nhập mã bảo mật ngẫu nhiên do hệ thống cung cấp tự động
58,Chi tieu,,Thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa có mấy hạng và hạn mức tín dụng của mỗi hạng là bao nhiêu?,"Thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa gồm 3 hạng:
- Hạng Chuẩn: hạn mức tín dụng từ 10 triệu đến dưới 50 triệu đồng
- Hạng Vàng: hạn mức tín dụng từ 50 triệu đồng trở lên
- Hạng Platinum: hạn mức tín dụng từ 90 triệu đồng trở lên"
59,Chi tieu,,Tôi muốn đăng ký phát hành thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa nhưng không có đủ giấy tờ chứng minh thu nhập. Vậy tôi nên làm gì?,"Nếu Quý khách hàng thuộc diện phê duyệt trước theo quy định của Ngân hàng, chúng tôi sẽ chủ động liên hệ hoặc có thông báo qua ứng dụng trên điện thoại thông minh của Quý khách
Nếu Quý khách hàng không thuộc diện phê duyệt trước, không có đủ giấy tờ chứng minh thu nhập thì Quý khách hàng nên đăng ký phát hành thẻ theo hình thức cầm cố sổ tiết kiệm.
Nếu Quý khách hàng có thẻ Bông Sen Vàng hạng Titan trở lên và còn hạn tối thiểu là 2 tháng  thì Quý khách không phải nộp giấy tờ chứng minh thu nhập."
60,Chi tieu,,Nếu tôi phát hành thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa theo hình thức có tài sản bảo đảm thì những loại tài sản nào có thể sử dụng để bảo đảm?,Techcombank chỉ áp dụng cầm cố sổ tiết kiệm được mở tại Techcombank để làm tài sản đảm bảo cho việc phát hành thẻ tín dụng theo hình thức có tài sản bảo đảm.
61,Chi tieu,,Tôi đã có thẻ tín dụng quốc tế Techcombank Visa. Vậy tôi có thể phát hành thêm thẻ tín dụng quốc tế Vietnam Airlines Techcombank Visa không?,"Có. Quý khách có thể duy trì cùng lúc 2 loại thẻ tín dụng. Tuy nhiên, tổng hạn mức tín dụng cả hai thẻ tín dụng của Quý khách tại cùng một thời điểm không được vượt quá hạn mức tín dụng tối đa được cấp cho Quý khách tại Techcombank."
62,Chi tieu,,"Tôi muốn phát hành thẻ phụ Vietnam Airlines Techcombank Visa cho người thân sử dụng. Vậy, người thân của tôi có cần là hội viên Bông Sen Vàng không?","Theo quy định hiện tại của Techcombank, chủ thẻ phụ không cần phải là hội viên Bông Sen Vàng"
63,Chi tieu,,"Tôi muốn phát hành thẻ tín dụng quốc tế Techcombank Visa phụ cho con tôi. Vậy, con tôi có cần phải chứng minh thu nhập không?","Theo qui định của Techcombank, chủ thẻ phụ không cần phải chứng minh thu nhập"
